#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名,
35,HW.DI010513.PV,#3炉BC联络给煤机故障停机信号,,BOOL,,,HW.DI010513.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
36,HW.DI010514.PV,#3炉BC联络给煤机遥控状态信号,,BOOL,,,HW.DI010514.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
37,HW.DI010515.PV,#3炉BC联络给煤机电机故障信号,,BOOL,,,HW.DI010515.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
38,HW.DI010516.PV,FSSS第一路电源失电,,BOOL,,,HW.DI010516.PV,,,2,-1,0,S001,A255,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
39,HW.AI010601.PV,B磨煤机出口风道#3角一次风速,30HHE23CP101,FLOAT,,,HW.AI010601.PV,,,900,0,0,S001,A001,Y,,20000,37,18,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
40,HW.AI010602.PV,B磨煤机润滑油泵电流,30HFC25AP0019,FLOAT,,,HW.AI010602.PV,,,20,0,0,S001,A001,Y,,20000,20,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
41,HW.AI010604.PV,B磨煤机密封风与磨碗上下部差压,30HFW22CP101,FLOAT,,,HW.AI010604.PV,,,18,0,0,S001,A001,Y,,20000,18,2,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
42,HW.AI010605.PV,B磨煤机磨碗上下部差压,30HFC20CP102,FLOAT,,,HW.AI010605.PV,,,18,0,0,S001,A001,Y,,20000,3.5,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
43,HW.AI010606.PV,B磨煤机出口风道#1角一次风速,30HHE21CP101,FLOAT,,,HW.AI010606.PV,,,900,0,0,S001,A001,Y,,20000,37,18,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
44,HW.AI010607.PV,B磨煤机电流,30HFC20AJ0019,FLOAT,,,HW.AI010607.PV,,,150,0,0,S001,A001,Y,,20000,60,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
45,HW.AI010608.PV,B给煤机电流,30HFB20GH00106,FLOAT,,,HW.AI010608.PV,,,4.9,0,0,S001,A001,Y,,20000,5,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
46,HW.RT020101.PV,B磨煤机电机线圈温度1,30HFC20CT103,FLOAT,,,HW.RT020101.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
47,HW.RT020102.PV,B磨煤机电机线圈温度6,30HFC20CT108,FLOAT,,,HW.RT020102.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
48,HW.RT020103.PV,B磨煤机电机线圈温度3,30HFC20CT105,FLOAT,,,HW.RT020103.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
49,HW.RT020104.PV,B磨煤机电机轴承温度1,30HFC20CT115,FLOAT,,,HW.RT020104.PV,,,600,-100,0,S001,A001,Y,,20000,70,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
50,HW.RT020105.PV,B磨煤机油箱温度,30HFC25CT101,FLOAT,,,HW.RT020105.PV,,,600,-100,0,S001,A001,Y,,20000,55,35,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
51,HW.RT020106.PV,B磨煤机润滑油温度,30HFC25CT102,FLOAT,,,HW.RT020106.PV,,,600,-100,0,S001,A001,Y,,20000,55,35,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
52,HW.RT020107.PV,B磨煤机减速机轴承温度1,30HFC25CT103,FLOAT,,,HW.RT020107.PV,,,600,-100,0,S001,A001,Y,,20000,75,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
53,HW.DQ020201.PV,停B给煤机,30HFB20AF0012,BOOL,,,HW.DQ020201.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
54,HW.DQ020202.PV,启B给煤机,30HFB20AF0011,BOOL,,,HW.DQ020202.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
55,HW.DQ020203.PV,B磨煤机运行,30DCS007FGD,BOOL,,,HW.DQ020203.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
56,HW.DQ020205.PV,B磨煤机润滑油泵合闸指令,30HFC25AP0011,BOOL,,,HW.DQ020205.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
57,HW.DQ020206.PV,B磨煤机润滑油泵跳闸指令,30HFC25AP0012,BOOL,,,HW.DQ020206.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
58,HW.DQ020207.PV,开B给煤机出口电动插板门,30HFB20AA0421,BOOL,,,HW.DQ020207.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
59,HW.DQ020208.PV,关B给煤机出口电动插板门,30HFB20AA0422,BOOL,,,HW.DQ020208.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
60,HW.DQ020209.PV,开B磨煤机出口气动快关门,30HFW32AA0011,BOOL,,,HW.DQ020209.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
61,HW.DQ020210.PV,关B磨煤机出口气动快关门,30HFW32AA0012,BOOL,,,HW.DQ020210.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
62,HW.DQ020211.PV,开B磨煤机进口热风气动快关门,30HFE22AA0211,BOOL,,,HW.DQ020211.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
63,HW.DQ020212.PV,关B磨煤机进口热风气动快关门,30HFE22AA0212,BOOL,,,HW.DQ020212.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
64,HW.DQ020213.PV,B磨煤机合闸命令,30HFC20AJ0011,BOOL,,,HW.DQ020213.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
65,HW.DQ020214.PV,B磨煤机跳闸命令,30HFC20AJ0012,BOOL,,,HW.DQ020214.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
66,HW.DQ020215.PV,无继电器通道禁用\\\\\\,,BOOL,,,HW.DQ020215.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
67,HW.DQ020216.PV,无继电器通道禁用\\\\\\,,BOOL,,,HW.DQ020216.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
68,HW.AI020301.PV,B给煤机瞬时给煤量,30HFB20GH00102,FLOAT,,,HW.AI020301.PV,,,65,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
69,HW.AI020302.PV,B磨煤机进口热风电动调节风门位置,30HFE22AA1019,FLOAT,,,HW.AI020302.PV,,,100,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
70,HW.AI020303.PV,B磨煤机一次风流量1,30HFE32CF101A,FLOAT,,,HW.AI020303.PV,,,1,-0.5,0,S001,A001,Y,,20000,1,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
71,HW.AI020304.PV,B磨煤机进口冷风电动调节风门位置,30HFE12AA1019,FLOAT,,,HW.AI020304.PV,,,100,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
72,HW.AI020305.PV,B磨煤机润滑油压力2,30HFC25CP102,FLOAT,,,HW.AI020305.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
73,HW.AI020306.PV,B磨煤机润滑油滤网差压,30HFC25CP104,FLOAT,,,HW.AI020306.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
74,HW.AI020307.PV,B磨煤机润滑油箱液位,30HFC25CL101,FLOAT,,,HW.AI020307.PV,,,450,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
75,HW.DI020401.PV,B给煤机进口电动门已开,30HFB20AA0413,BOOL,,,HW.DI020401.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
76,HW.DI020402.PV,B给煤机进口电动门已关,30HFB20AA0414,BOOL,,,HW.DI020402.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
77,HW.DI020403.PV,B给煤机进口电动门力矩故障,30HFB20AA0415,BOOL,,,HW.DI020403.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
78,HW.DI020404.PV,B给煤机进口电动门远程模式,30HFB20AA0416,BOOL,,,HW.DI020404.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
79,HW.DI020405.PV,B给煤机出口电动插板门已开,30HFB20AA0423,BOOL,,,HW.DI020405.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
80,HW.DI020406.PV,B给煤机出口电动插板门已关,30HFB20AA0424,BOOL,,,HW.DI020406.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
81,HW.DI020407.PV,B给煤机出口电动插板门故障,30HFB20AA0425,BOOL,,,HW.DI020407.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
82,HW.DI020408.PV,B磨煤机润滑油泵运行,30HFC25AP0013,BOOL,,,HW.DI020408.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
83,HW.DI020409.PV,#3炉BC联络给煤机容积式运行信号,,BOOL,,,HW.DI020409.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
84,HW.DI020410.PV,B磨煤机润滑油泵过载,30HFC25AP0015,BOOL,,,HW.DI020410.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
85,HW.DI020411.PV,B磨煤机润滑油站电加热器运行,30HFC25AH0013,BOOL,,,HW.DI020411.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
86,HW.DI020415.PV,B磨煤机就地动力柜控制电源消失,30HFC25GH0011,BOOL,,,HW.DI020415.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
87,HW.DI020416.PV,B磨润滑油泵就地动力柜就地控制,30HFC25GH0012,BOOL,,,HW.DI020416.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
88,HW.DI020501.PV,B给煤机运行,30HFB20AF0013,BOOL,,,HW.DI020501.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
89,HW.DI020503.PV,B给煤机清扫链运行,30HFB20GH00105,BOOL,,,HW.DI020503.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
90,HW.DI020504.PV,B给煤机清扫链故障,30HFB20GH00107,BOOL,,,HW.DI020504.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
91,HW.DI020505.PV,B给煤机故障,30HFB20GH00108,BOOL,,,HW.DI020505.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
92,HW.DI020506.PV,B给煤机在遥控方式,30HFB20GH00109,BOOL,,,HW.DI020506.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
93,HW.DI020507.PV,B给煤机出口堵煤,30HFB20GH00112,BOOL,,,HW.DI020507.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
94,HW.DI020508.PV,B给煤机进口堵煤,30HFB20GH00113,BOOL,,,HW.DI020508.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
95,HW.DI020509.PV,B给煤机断煤,30HFB20GH00114,BOOL,,,HW.DI020509.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
96,HW.DI020510.PV,B给煤机控制系统故障,30HFB20GH00115,BOOL,,,HW.DI020510.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
97,HW.DI020512.PV,B磨煤机出口B1气动快关门开,30HHE21AA0213,BOOL,,,HW.DI020512.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
98,HW.DI020513.PV,B磨煤机出口B1气动快关门关,30HHE21AA0214,BOOL,,,HW.DI020513.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
99,HW.DI020514.PV,B磨石子煤斗气动排渣一次门开到位,,BOOL,,,HW.DI020514.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
100,HW.DI020515.PV,B磨石子煤斗气动排渣一次门关到位,,BOOL,,,HW.DI020515.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
101,HW.DI020601.PV,B给煤机在容积模式,30HFB20GH00111,BOOL,,,HW.DI020601.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
102,HW.DI020602.PV,B给煤机超温,30HFB20GH00116,BOOL,,,HW.DI020602.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
103,HW.DI020603.PV,B给煤机清扫链自动模式,30HFB20GH00117,BOOL,,,HW.DI020603.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
104,HW.DI020604.PV,B给煤机给煤量偏差大,30HFB20GH00118,BOOL,,,HW.DI020604.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
105,HW.DI020605.PV,B磨煤机进口热风电动调节风门已开,30HFE22AA1013,BOOL,,,HW.DI020605.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
106,HW.DI020606.PV,B磨煤机进口热风电动调节风门已关,30HFE22AA1014,BOOL,,,HW.DI020606.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
107,HW.DI020607.PV,B磨煤机进口热风电动调节风门故障,30HFE22AA1015,BOOL,,,HW.DI020607.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
108,HW.DI020608.PV,B磨煤机进口冷风电动调节风门已开,30HFE12AA1013,BOOL,,,HW.DI020608.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
109,HW.DI020609.PV,B磨煤机进口冷风电动调节风门已关,30HFE12AA1014,BOOL,,,HW.DI020609.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
110,HW.DI020610.PV,B磨煤机进口冷风电动调节风门故障,30HFE12AA1015,BOOL,,,HW.DI020610.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
111,HW.DI020611.PV,B磨石子煤斗气动排渣二次门开到位,,BOOL,,,HW.DI020611.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
112,HW.DI020612.PV,B磨石子煤斗气动排渣二次门关到位,,BOOL,,,HW.DI020612.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
113,HW.DI020613.PV,B磨石子煤斗密封板开启,,BOOL,,,HW.DI020613.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
114,HW.DI020614.PV,B磨石子煤斗密封板锁紧,,BOOL,,,HW.DI020614.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
115,HW.DI020615.PV,B磨石子煤斗料位高,,BOOL,,,HW.DI020615.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
116,HW.RT030101.PV,B磨煤机出口温度1,30HFC20CT101,FLOAT,,,HW.RT030101.PV,,,600,-100,0,S001,A001,Y,,20000,90,60,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
117,HW.RT030102.PV,3B磨煤机动态分离器上轴承温度,,FLOAT,,,HW.RT030102.PV,,,600,-100,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
118,HW.RT030103.PV,3B磨煤机动态分离器减速机润滑油温,,FLOAT,,,HW.RT030103.PV,,,600,-100,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
119,HW.RT030104.PV,3B磨煤机动态分离器及减速机输出轴,,FLOAT,,,HW.RT030104.PV,,,600,-100,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
120,HW.RT030105.PV,B磨煤机减速箱输入轴承温度6,30HFC25CT108,FLOAT,,,HW.RT030105.PV,,,600,-100,0,S001,A001,Y,,20000,75,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
121,HW.RT030108.PV,30CRA03机柜温度,,FLOAT,,,HW.RT030108.PV,,,600,-100,0,S001,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
122,HW.TC030301.PV,B磨煤机一次风温度2,30HFE32CT102,FLOAT,,,HW.TC030301.PV,,,1200,-50,0,S001,A001,Y,,20000,300,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
